d%,Oggetto,Prezzo,Fonte
63-64,Unguento del Volo,2.250 mo,Guida del Giocatore
-,Elisir del Cambio di Sesso,2.250 mo,Guida alle Classi
65,Colla Meravigliosa,2.400 mo,Manuale di Gioco
-,Osso di Troll,2.400 mo,Guida alle Classi
66,Mela del Sonno Eterno,2.500 mo,Guida del Giocatore
67-68,Borsa Conservante (Tipo I),2.500 mo,Manuale di Gioco
69,Candela della VeritÃ,2.500 mo,Manuale di Gioco
70,Bambola delle Fatture,2.500 mo,Guida all'Equipaggiamento
-,Estro del Maestro di Spada,2.500 mo,Guida alle Classi
-,Radice dell'Albero del Mondo Maggiore,2.500 mo,Avventure Mitiche
-,Ragno di Ottone,2.500 mo,Guida alle Classi
71-72,Pietra dell'Allarme,2.700 mo,Manuale di Gioco
73,Libro dell'Evocazione Estesa (Standard),2.750 mo,Guida all'Equipaggiamento
-,Acchiappasogni,2.800 mo,Avventure Occulte
-,Incenso dei Pensieri Aperti,2.800 mo,Avventure Occulte
74-77,Biglia di Forza,3.000 mo,Manuale di Gioco
78,Calderone dell'Infusione,3.000 mo,Guida del Giocatore
79-80,Campana dell'Apertura,3.000 mo,Manuale di Gioco
81,Filtro d'Amore,3.000 mo,Guida del Giocatore
82-86,Corda per Scalare,3.000 mo,Manuale di Gioco
87-88,Vaporizzatore Volatile (2Â°),3.000 mo,Guida all'Equipaggiamento
-,Bacchetta ad Anelli,3.000 mo,Guida alle Classi
-,Campana degli Spiriti Ritornanti,3.000 mo,Guida alle Classi
-,Gemma Stella Kitsune (2Â°),3.000 mo,Guida alle Razze
-,Lanterna Inestinguibile,3.000 mo,Avventure Mitiche
89,Sudario della Disintegrazione,3.300 mo,Guida all'Equipaggiamento
-,Incenso dei Molti Destini,3.300 mo,Guida alle Razze
90-92,Borsa degli Animali (Grigia),3.400 mo,Manuale di Gioco
93-95,Polvere della Sparizione,3.500 mo,Manuale di Gioco
96,Polvere del Pesante Fardello,3.600 mo,Guida all'Equipaggiamento
97,Portapillole Vigile del Nobile,3.600 mo,Guida all'Equipaggiamento
98-99,Statuina delle Meraviglie  (  Corvo d'Argento  ),3.800 mo,Manuale di Gioco
100,Vaporizzatore Volatile (3Â°),3.800 mo,Guida all'Equipaggiamento
-,Quadrifoglio,3.800 mo,Avventure Occulte
