d%,Oggetto,Prezzo,Fonte
60,Sigillo del Tesoriere,10.000 mo,Guida all'Equipaggiamento
-,Fermaglio Ancestrale,10.000 mo,Guida alle Razze
-,Forte sull'Albero del Cacciatore,10.000 mo,Guida alle Classi
-,Ventaglio dalle Piume Nere,10.000 mo,Guida alle Razze
61,Scheggia di Anima Nera,12.000 mo,Guida all'Equipaggiamento
62,Manuale del Golem (Argilla),12.000 mo,Manuale di Gioco
63,Sella del Signore dei Cavalli,12.000 mo,Guida all'Equipaggiamento
64,Flauto della Dissoluzione,12.000 mo,Guida all'Equipaggiamento
65,Flauto del Dolore,12.000 mo,Guida all'Equipaggiamento
66,Mirino Ricercante,12.000 mo,Guida al Combattimento
-,Ardesia degli Spiriti,12.000 mo,Avventure Occulte
-,Arnesi Manufatturieri Meravigliosi,12.000 mo,Guida alle Razze
-,Corno della Panacea,12.000 mo,Guida alle Classi
-,Gatto di Pietra Luna,12.000 mo,Avventure Mitiche
-,Pietre della Litomanzia,12.000 mo,Avventure Occulte
67,Libro Benedetto,12.500 mo,Manuale di Gioco
68,Acque della Trasfigurazione,12.500 mo,Guida all'Equipaggiamento
69,Gemma della LuminositÃ,13.000 mo,Manuale di Gioco
70,Arpa del Contagio,13.000 mo,Guida all'Equipaggiamento
71,Lira della Costruzione,13.000 mo,Manuale di Gioco
-,Statuina delle Meraviglie  (  Imp di Stagno  ),13.000 mo,Guida alle Classi
-,Tomo degli Origami di Animali,13.500 mo,Avventure Occulte
72,Vessillo del Vuoto,14.000 mo,Guida all'Equipaggiamento
73,Cavallo di Pietra (Destriero),14.800 mo,Guida all'Equipaggiamento
74,Libro del Maestro del Sapere,15.000 mo,Guida del Giocatore
75,Calderone dell'Abbondanza,15.000 mo,Guida del Giocatore
76,Corno del Giudizio,15.000 mo,Guida all'Equipaggiamento
77,Corno dei Tritoni,15.000 mo,Guida all'Equipaggiamento
-,Fazzoletto della Localizzazione,15.000 mo,Guida alle Classi
-,Ferro di Cavallo Fortunato Collettivo,15.000 mo,Avventure Occulte
78,Perla delle Sirene,15.300 mo,Manuale di Gioco
79,Statuina delle Meraviglie  (Cane d'Onice),15.300 mo,Manuale di Gioco
80-81,Borsa degli Animali Marrone,16.000 mo,Manuale di Gioco
82,Biglia di Boro (4Â°),16.000 mo,Guida all'Equipaggiamento
83,Pagina della Conoscenza Magica (4Â°),16.000 mo,Guida all'Equipaggiamento
84-87,Perla del Potere (4Â°),16.000 mo,Manuale di Gioco
88,Ampolla Preservante (4Â°),16.000 mo,Guida all'Equipaggiamento
89-91,Fodero delle EstremitÃ Affilate,16.000 mo,Manuale di Gioco
-,Bambola Ganji,16.000 mo,Avventure Occulte
-,Reticolo Incantato (4Â°),16.000 mo,Guida alle Classi
-,Rune della Congrega Stregata,16.000 mo,Guida alle Classi
-,Rune della Fede Verde,16.000 mo,Guida alle Classi
92-93,Statuina delle Meraviglie  (Leoni d'Oro),16.500 mo,Manuale di Gioco
-,Boccale di Cayden,16.500 mo,Avventure Mitiche
94-95,Campana dell'Interruzione,16.800 mo,Manuale di Gioco
96-99,Scopa Volante,17.000 mo,Manuale di Gioco
100,Statuina delle Meraviglie  (Elefante di Marmo),17.000 mo,Manuale di Gioco
