Nome,Tipo,Slot,Prezzo,Peso,Fonte,Unnamed: 6
01-20,Scudo Pesante in Acciaio Vivente,Scudo minore inferiore,Scudo,120 mo,"7,5 kg",Guida all'Equipaggiamento
21-45,Buckler in Legnoscuro,Scudo minore inferiore,Scudo,203 mo,"1,25 kg",Manuale di Gioco
46-70,Scudo in Legnoscuro,Scudo minore inferiore,Scudo,257 mo,"2,5 kg",Manuale di Gioco
71-100,Scudo Pesante in Mithral,Scudo minore inferiore,Scudo,1.020 mo,"2,5 kg",Manuale di Gioco
01-30,Scudo Pelle di Zombi,Scudo minore superiore,Scudo,2.159 mo,"7,5 kg",Guida all'Equipaggiamento
31-75,Scudo dell'Incantatore,Scudo minore superiore,Scudo,3.153 mo,"2,5 kg",Manuale di Gioco
76-100,Buckler dello Scassinatore,Scudo minore superiore,Scudo,4.655 mo,"2,5 kg",Guida all'Equipaggiamento
01-35,Scudo di Spine,Scudo medio inferiore,Scudo,5.580 mo,"7,5 kg",Manuale di Gioco
36-50,Scudo dello Sterminatore di Draghi,Scudo medio inferiore,Scudo,7.170 mo,"7,5 kg",Guida all'Equipaggiamento
-,Scudo degli Artigli,Scudo medio inferiore,Scudo,8.158 mo,4 kg,Guida alle Classi
51-65,Scudo Torre Pieghevole,Scudo medio inferiore,Scudo,8.170 mo,"7,5 kg",Guida all'Equipaggiamento
66-100,Scudo del Leone,Scudo medio inferiore,Scudo,9.170 mo,"7,5 kg",Manuale di Gioco
01-20,Scudo dell'Incantatore Superiore,Scudo medio superiore,Scudo,10.153 mo,"2,5 kg",Guida all'Equipaggiamento
21-40,Scudo Celestiale,Scudo medio superiore,Scudo,13.170 mo,"3,5 kg",Guida alle Razze
41-60,Scudo del Gorgo,Scudo medio superiore,Scudo,14.170 mo,5 kg,Guida all'Equipaggiamento
61-80,Scudo del Vulcano,Scudo medio superiore,Scudo,14.170 mo,5 kg,Guida all'Equipaggiamento
81-100,Scudo della Tempesta,Scudo medio superiore,Scudo,15.170 mo,5 kg,Guida all'Equipaggiamento
01â20,Scudo del Camminamento,Scudo maggiore inferiore,Scudo,16.180 mo,"22,5 kg",Guida del Giocatore
21-40,Scudo Alato,Scudo maggiore inferiore,Scudo,17.257 mo,5 kg,Manuale di Gioco
41-60,Scudo della Frana,Scudo maggiore inferiore,Scudo,15.170 mo,5 kg,Guida all'Equipaggiamento
61-80,Scudo Fortezza,Scudo maggiore inferiore,Scudo,19.180 mo,"22,5 kg",Guida del Giocatore
81-100,Scudo dello Sterminatore di Dragoni,Scudo maggiore inferiore,Scudo,20.170 mo,"7,5 kg",Guida all'Equipaggiamento
-,Bastione dell'Eroe,Scudo maggiore inferiore,Scudo,22.170 mo,"7,5 kg",Avventure Mitiche
01-20,Scudo Torre dell'Interdizione agli Incantesimi,Scudo maggiore superiore,Scudo,25.180 mo,"7,5 kg",Guida all'Equipaggiamento
21-35,Buckler del Blocco Rapido,Scudo maggiore superiore,Scudo,36.155 mo,"7,5 kg",Guida all'Equipaggiamento
36-50,Scudo Bellicoso,Scudo maggiore superiore,Scudo,36.170 mo,"7,5 kg",Guida all'Equipaggiamento
51-65,Scudo Torre della Forza,Scudo maggiore superiore,Scudo,46.030 mo,11 kg,Guida all'Equipaggiamento
66-85,Scudo Assorbente,Scudo maggiore superiore,Scudo,50.170 mo,"7,5 kg",Manuale di Gioco
86-100,Scudo Eliseo,Scudo maggiore superiore,Scudo,52.620 mo,"22,5 kg",Guida alle Razze
01-02,Proiettile Tracciante,Arma minore inferiore,Nessuno,100 mo,-,Guida al Combattimento
03-08,Freccia del Sonno,Arma minore inferiore,Nessuno,132 mo,"0,05 kg",Manuale di Gioco
09-10,Proiettile Nube di Polvere,Arma minore inferiore,Nessuno,196 mo,"0,25 kg",Guida del Giocatore
11-16,Quadrello Intralciante,Arma minore inferiore,Nessuno,226 mo,-,Guida del Giocatore
17-22,Quadrello Urlante,Arma minore inferiore,Nessuno,267 mo,"0,05 kg",Manuale di Gioco
23-32,Pugnale d'Argento Perfetto,Arma minore inferiore,Nessuno,322 mo,"0,5 kg",Manuale di Gioco
33-34,Proiettile dell'Alchimista,Arma minore inferiore,Nessuno,330 mo,"0,25 kg",Guida all'Equipaggiamento
35-44,Spada Lunga di Ferro Freddo Perfetta,Arma minore inferiore,Nessuno,330 mo,2 kg,Manuale di Gioco
45-50,Freccia Silenziante,Arma minore inferiore,Nessuno,547 mo,"0,025 kg",Guida all'Equipaggiamento
51-56,Freccia Silenziante Superiore,Arma minore inferiore,Nessuno,1.047 mo,"0,025 kg",Guida all'Equipaggiamento
57-66,Giavellotto del Fulmine,Arma minore inferiore,Nessuno,1.500 mo,1 kg,Manuale di Gioco
67-74,Freccia Incandescente,Arma minore inferiore,Nessuno,1.516 mo,-,Guida del Giocatore
75-82,Freccia Sfrigolante,Arma minore inferiore,Nessuno,1.516 mo,-,Guida del Giocatore
83-84,Proiettile Scavatore Inferiore,Arma minore inferiore,Nessuno,1.722 mo,-,Guida al Combattimento
85-92,Quadrello della Polvere,Arma minore inferiore,Nessuno,1.730 mo,"0,05 kg",Guida all'Equipaggiamento
93-100,Freccia Assassina,Arma minore inferiore,Nessuno,2.282 mo,"0,05 kg",Manuale di Gioco
01-20,Pugnale in Adamantio,Arma minore superiore,Nessuno,3.002 mo,"0,5 kg",Manuale di Gioco
21-40,Ascia da Battaglia in Adamantio,Arma minore superiore,Nessuno,3.010 mo,3 kg,Manuale di Gioco
41-50,Proiettile Scavatore Superiore,Arma minore superiore,Nessuno,3.447 mo,-,Guida al Combattimento
51-70,Freccia Assassina Superiore,Arma minore superiore,Nessuno,4.057 mo,"0,05 kg",Manuale di Gioco
71-80,Lancia del Torneo,Arma minore superiore,Nessuno,4.310 mo,5 kg,Guida del Giocatore
81-100,Spina Frantumante,Arma minore superiore,Nessuno,4.315 mo,2 kg,Manuale di Gioco
01-09,Kukri del Salasso,Arma media inferiore,nessuno,6.308 mo,1 kg,Guida all'Equipaggiamento
04-09,Mazza Testa di Macigno,Arma media inferiore,Nessuno,6.812 mo,4 kg,Guida del Giocatore
10-14,Randello del Colpo Bestiale,Arma media inferiore,Nessuno,7.300 mo,"1,5 kg",Guida del Giocatore
15-20,Forcone del Guerriero,Arma media inferiore,Nessuno,7.315 mo,2 kg,Guida all'Equipaggiamento
-,Stocco dell'Intrepido,Arma media inferiore,Nessuno,7.320 mo,1 kg,Guida alle Classi
21-23,Aspersorio del Flusso Continuo,Arma media inferiore,Nessuno,7.805 mo,2 kg,Guida all'Equipaggiamento
24-28,Bastone Ferrato dell'Uragano,Arma media inferiore,Nessuno,7.840 mo,2 kg,Guida all'Equipaggiamento
29-34,Pugnale Avvelenato,Arma media inferiore,Nessuno,8.302 mo,"0,5 kg",Manuale di Gioco
35-39,Lama Tenebrosa,Arma media inferiore,Nessuno,8.810 mo,1 kg,Guida alle Razze
40-44,Fionda Congelante,Arma media inferiore,Nessuno,9.380 mo,-,Guida all'Equipaggiamento
45-49,Tridente della StabilitÃ,Arma media inferiore,Nessuno,9.815 mo,2 kg,Guida del Giocatore
50-54,Tridente dell'Avvertimento,Arma media inferiore,Nessuno,10.115 mo,2 kg,Manuale di Gioco
55-60,Pugnale dell'Assassino,Arma media inferiore,Nessuno,10.302 mo,"0,5 kg",Manuale di Gioco
61-66,Pugnale del Raddoppio,Arma media inferiore,Nessuno,10.302 mo,"0,5 kg",Guida all'Equipaggiamento
-,Lame per Artigli Laceranti,Arma media inferiore,Nessuno,10.305 mo,"0,5 kg",Guida alle Razze
-,Piccone Fendipietra,Arma media inferiore,Nessuno,11.308 mo,3 kg,Avventure Mitiche
67-71,Mazzafrusto della Terra,Arma media inferiore,Nessuno,11.315 mo,5 kg,Guida all'Equipaggiamento
72-79,Ascia Bipenne Rapida di Ossidiana,Arma media inferiore,Nessuno,11.320 mo,6 kg,Guida alle Razze
80-85,Liuxing Chui della PolaritÃ,Arma media inferiore,Nessuno,12.310 mo,5 kg,Guida all'Equipaggiamento
86-93,Lama del Legame,Arma media inferiore,Nessuno,12.350 mo,4 kg,Guida del Giocatore
94-100,Sventura del Mutaforma,Arma media inferiore,Nessuno,12.780 mo,5 kg,Manuale di Gioco
01-07,Giusarma Acchiappa Draghi,Arma media superiore,Nessuno,13.308 mo,"2,5 kg",Guida all'Equipaggiamento
-,Lama del Boia,Arma media superiore,Nessuno,13.850 mo,4 kg,Guida alle Classi
08-15,Dao a Dieci Anelli,Arma media superiore,Nessuno,14.315 mo,2 kg,Guida all'Equipaggiamento
16-21,Tridente del Tritone,Arma media superiore,Nessuno,15.065 mo,2 kg,Guida all'Equipaggiamento
22-29,Mazza della Punizione Inferiore,Arma media superiore,Nessuno,16.012 mo,4 kg,Guida all'Equipaggiamento
30-37,Lama Disarmante,Arma media superiore,Nessuno,17.802 mo,1 kg,Guida all'Equipaggiamento
38-42,Sferza dell'Ululatore,Arma media superiore,Nessuno,18.305 mo,"1,5 kg",Guida all'Equipaggiamento
43-47,Lancia Spezzascudi,Arma media superiore,Nessuno,18.310 mo,5 kg,Guida del Giocatore
48-53,Tridente del Comando dei Pesci,Arma media superiore,Nessuno,18.650 mo,2 kg,Manuale di Gioco
54-59,Bastone Ferrato del Balzo,Arma media superiore,Nessuno,19.100 mo,2 kg,Guida all'Equipaggiamento
-,Lancia della Contesa,Arma media superiore,Nessuno,19.502 mo,3 kg,Avventure Mitiche
60-65,Pistola Drago di Fuoco,Arma media superiore,Nessuno,20.300 mo,2 kg,Guida all'Equipaggiamento
66-71,Martello Rimbalzante,Arma media superiore,Nessuno,20.301 mo,1 kg,Guida del Giocatore
72-77,Spada Lingua di Fuoco,Arma media superiore,Nessuno,20.715 mo,2 kg,Manuale di Gioco
-,Ascia Brutale,Arma media superiore,Nessuno,21.320 mo,6 kg,Avventure Mitiche
78-85,Astrum del Sentiero Scintillante,Arma media superiore,Nessuno,21.324 mo,"1,5 kg",Guida del Giocatore
86-90,Lama della Fortuna  (0  Desideri  ),Arma media superiore,Nessuno,22.060 mo,1 kg,Manuale di Gioco
91-95,Spada della FurtivitÃ,Arma media superiore,Nessuno,22.310 mo,1 kg,Manuale di Gioco
96-100,Spada dei Piani,Arma media superiore,Nessuno,22.315 mo,2 kg,Manuale di Gioco
01-12,Spada Ruba Nove Vite,Arma maggiore inferiore,Nessuno,23.057 mo,2 kg,Manuale di Gioco
13-26,Ascia Debilitante,Arma maggiore inferiore,Nessuno,23.310 mo,3 kg,Guida del Giocatore
-,Pugnale dei Mille Morsi,Arma maggiore inferiore,Nessuno,24.502 mo,"0,25 kg",Avventure Mitiche
27-40,Richiama Spiriti,Arma maggiore inferiore,Nessuno,25.302 mo,1 kg,Guida all'Equipaggiamento
41-55,Martello del Legame Nanico,Arma maggiore inferiore,Nessuno,25.312 mo,"2,5 kg",Guida all'Equipaggiamento
56-70,Arco del Giuramento,Arma maggiore inferiore,Nessuno,25.600 mo,"1,5 kg",Manuale di Gioco
71-85,Spada del Furto Vitale,Arma maggiore inferiore,Nessuno,25.715 mo,2 kg,Manuale di Gioco
-,Stocco del Movimento Tattico,Arma maggiore inferiore,Nessuno,30.320 mo,1 kg,Guida alle Classi
-,Lama della Dea del Fuoco,Arma maggiore inferiore,Nessuno,33.315 mo,2 kg,Avventure Mitiche
86-100,Apprendista della Spietatezza,Arma maggiore inferiore,Nessuno,33.910 mo,1 kg,Guida all'Equipaggiamento
01-02,Lamento del Ghoul,Arma maggiore superiore,Nessuno,35.312 mo,"2,5 kg",Guida all'Equipaggiamento
-,Compagna del Duellante,Arma maggiore superiore,Nessuno,35.320 mo,1 kg,Guida alle Classi
-,Arco di Erastil,Arma maggiore superiore,Nessuno,38.000 mo,"2,5 kg",Avventure Mitiche
-,Martello del Caos,Arma maggiore superiore,Nessuno,38.312 mo,5 kg,Avventure Mitiche
03-05,Mazza del Terrore,Arma maggiore superiore,Nessuno,38.552 mo,4 kg,Manuale di Gioco
06-07,Flagello Infernale,Arma maggiore superiore,Nessuno,39.552 mo,"1,5 kg",Guida all'Equipaggiamento
08-09,Fato dei Draghi,Arma maggiore superiore,Nessuno,40.310 mo,6 kg,Guida all'Equipaggiamento
10-13,Prosciuga-Vita,Arma maggiore superiore,Nessuno,40.320 mo,6 kg,Manuale di Gioco
14-16,Seguace del Valore,Arma maggiore superiore,Nessuno,41.335 mo,3 kg,Guida all'Equipaggiamento
17-18,Sventura del Convocatore,Arma maggiore superiore,Nessuno,42.816 mo,5 kg,Guida all'Equipaggiamento
19-21,Scimitarra Silvana,Arma maggiore superiore,Nessuno,47.315 mo,2 kg,Manuale di Gioco
22-23,Lama dello Spirito,Arma maggiore superiore,Nessuno,48.502 mo,"0,5 kg",Guida del Giocatore
24-26,Lancia di Durame,Arma maggiore superiore,Nessuno,50.302 mo,3 kg,Guida all'Equipaggiamento
27-29,Stocco Pungente,Arma maggiore superiore,Nessuno,50.320 mo,1 kg,Manuale di Gioco
30-32,Lama del Sole,Arma maggiore superiore,Nessuno,50.335 mo,1 kg,Manuale di Gioco
-,Arco del Soffio di Drago,Arma maggiore superiore,Nessuno,50.375 mo,"1,5 kg",Avventure Mitiche
33-37,Lama del Sol Levante,Arma maggiore superiore,Nessuno,51.850 mo,3 kg,Guida all'Equipaggiamento
38-40,Spadone del Gelo,Arma maggiore superiore,Nessuno,54.475 mo,4 kg,Manuale di Gioco
41-45,Martello Nanico da Lancio,Arma maggiore superiore,Nessuno,60.312 mo,"2,5 kg",Manuale di Gioco
46-50,Pugnale Sanguinario,Arma maggiore superiore,Nessuno,60.802 mo,"0,5 kg",Guida all'Equipaggiamento
51-53,Portatore di Guerra,Arma maggiore superiore,Nessuno,61.375 mo,4 kg,Guida all'Equipaggiamento
54-57,Lama della Fortuna  (1  Desiderio  ),Arma maggiore superiore,Nessuno,62.360 mo,1 kg,Manuale di Gioco
58-61,Lama da Guardia,Arma maggiore superiore,Nessuno,65.310 mo,1 kg,Guida del Giocatore
-,Spezza Incantesimi,Arma maggiore superiore,Nessuno,71.600 mo,2 kg,Avventure Mitiche
62-64,Pistola del Cielo Infinito,Arma maggiore superiore,Nessuno,73.300 mo,2 kg,Guida all'Equipaggiamento
65-69,Mazza della Punizione,Arma maggiore superiore,Nessuno,75.312 mo,4 kg,Manuale di Gioco
70-73,Lama del Santo della Spada,Arma maggiore superiore,Nessuno,75.350 mo,3 kg,Guida all'Equipaggiamento
74-76,Scimitarra del Ladro di Incantesimi,Arma maggiore superiore,Nessuno,75.815 mo,2 kg,Guida all'Equipaggiamento
77-79,Zanna del Ragno,Arma maggiore superiore,Nessuno,79.102 mo,"0,5 kg",Guida all'Equipaggiamento
80-82,Sciabola Sventura dei Demoni,Arma maggiore superiore,Nessuno,90.469 mo,"3,5 kg",Guida all'Equipaggiamento
83-85,Falce del Vuoto,Arma maggiore superiore,Nessuno,95.318 mo,5 kg,Guida all'Equipaggiamento
-,Spuntone delle Ombre,Arma maggiore superiore,Nessuno,96.600 mo,2 kg,Avventure Mitiche
-,Pistola dell'Innominato,Arma maggiore superiore,Nessuno,98.300 mo,"2,5 kg",Avventure Mitiche
-,Richiamatempesta,Arma maggiore superiore,Nessuno,98.302 mo,3 kg,Avventure Mitiche
86-89,Lama della Fortuna  (2  Desideri  ),Arma maggiore superiore,Nessuno,102.660 mo,1 kg,Manuale di Gioco
-,Tocco dell'Ombra,Arma maggiore superiore,Nessuno,102.962 mo,"0,25 kg",Avventure Mitiche
90-92,Sacro Vendicatore,Arma maggiore superiore,Nessuno,120.630 mo,2 kg,Manuale di Gioco
93-96,Pungiglione del Bastardo,Arma maggiore superiore,Nessuno,123.035 mo,3 kg,Guida all'Equipaggiamento
97-100,Lama della Fortuna  (3  Desideri  ),Arma maggiore superiore,Nessuno,142.960 mo,1 kg,Manuale di Gioco
-,Spada del Fuoco Interiore,Arma maggiore superiore,Nessuno,151.315 mo,2 kg,Avventure Mitiche
-,Vendicatore Consacrato,Arma maggiore superiore,Nessuno,202.630 mo,2 kg,Avventure Mitiche
01-07,Anello della Prigione del Prigioniero,Anello minore inferiore,Anello,250 mo,-,Guida del Giocatore
08-16,Anello dei Sigilli Arcani,Anello minore inferiore,Anello,1.000 mo,-,Guida del Giocatore
17-23,Anello della Conoscenza degli Incantesimi I,Anello minore inferiore,Anello,1.500 mo,-,Guida all'Equipaggiamento
26-40,Anello di Protezione +1,Anello minore inferiore,Anello,2.000 mo,-,Manuale di Gioco
41-47,Anello dell'Avida Tomba,Anello minore inferiore,Anello,2.000 mo,-,Guida all'Equipaggiamento
-,Anello della Magia di Stirpe Persistente,Anello minore inferiore,Anello,2.000 mo,-,Guida alle Classi
48-57,Anello della Caduta Morbida,Anello minore inferiore,Anello,2.200 mo,-,Manuale di Gioco
58-66,Anello dello Scalare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
67-75,Anello del Saltare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
76-84,Anello del Sostentamento,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
85-93,Anello del Nuotare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Leshy),Anello minore inferiore,Anello,2.800 mo,-,Guida alle Classi
94-100,Anello dell'Azione Intensa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Razze
-,Anello della Magia di Stirpe Poderosa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Classi
-,Anello dell'Eloquenza,Anello minore inferiore,Anello,3.500 mo,-,Guida alle Classi
01-15,Anello dei Controincantesimi,Anello minore superiore,Anello,4.000 mo,-,Manuale di Gioco
-,Anello della Magia di Stirpe Ancestrale,Anello minore superiore,Anello,4.000 mo,-,Guida alle Classi
16-25,Anello dei Folli Congegni,Anello minore superiore,Anello,5.000 mo,-,Guida del Giocatore
26-35,Anello delle Zanne di Ratto,Anello minore superiore,Anello,5.000 mo,-,Guida alle Razze
-,Anello della Magia di Stirpe Vendicativa,Anello minore superiore,Anello,5.400 mo,-,Guida alle Classi
36-52,Anello di Vischio Sacro,Anello minore superiore,Anello,6.000 mo,-,Guida all'Equipaggiamento
53-69,Anello della Conoscenza degli Incantesimi II,Anello minore superiore,Anello,6.000 mo,-,Guida all'Equipaggiamento
70-86,Anello del Nugolo di Colpi,Anello minore superiore,Anello,6.000 mo,-,Guida alle Razze
87-100,Anello della Padronanza della Grinta,Anello minore superiore,Anello,6.840 mo,-,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Arconti),Anello minore superiore,Anello,7.000 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Angeli),Anello minore superiore,Anello,7.200 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Protean),Anello minore superiore,Anello,7.200 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Kyton),Anello minore superiore,Anello,7.300 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Asura),Anello minore superiore,Anello,7.600 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Psicopompi),Anello minore superiore,Anello,7.600 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Agathion),Anello minore superiore,Anello,7.700 mo,-,Guida alle Classi
-,Anello dell'Armonizzazione Naturale (Kami),Anello minore superiore,Anello,7.800 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Eoni),Anello minore superiore,Anello,7.800 mo,-,Guida alle Classi
01â10,Bastone del Conforto Benedetto,Bastone medio inferiore,Nessuno,7.200 mo,"2,5 kg",Guida all'Equipaggiamento
11-20,Bastone dell'Arcano Minore,Bastone medio inferiore,Nessuno,8.000 mo,"2,5 kg",Guida all'Equipaggiamento
21-30,Bastone dei Trucchi,Bastone medio inferiore,Nessuno,8.800 mo,"1,5 kg",Guida all'Equipaggiamento
31-44,Bastone dell'Esploratore,Bastone medio inferiore,Nessuno,9.600 mo,2 kg,Guida all'Equipaggiamento
-,Bastone della Mostrificazione,Bastone medio inferiore,Nessuno,12.000 mo,2 kg,Guida alle Classi
-,Vanga del Becchino,Bastone medio inferiore,Nessuno,12.150 mo,2 kg,Guida alle Classi
-,Bastone delle Scintille,Bastone medio inferiore,Nessuno,12.650 mo,1 kg,Guida alle Classi
-,Bastone delle Braci,Bastone medio inferiore,Nessuno,13.100 mo,"1,5 kg",Guida alle Classi
45-54,Bastone degli Eidolon,Bastone medio inferiore,Nessuno,14.400 mo,"2,5 kg",Guida all'Equipaggiamento
55-67,Bastone della Comprensione,Bastone medio inferiore,Nessuno,14.400 mo,"2,5 kg",Guida all'Equipaggiamento
68-84,Bastone dell'Accompagnamento,Bastone medio inferiore,Nessuno,14.800 mo,"2,5 kg",Guida all'Equipaggiamento
85-100,Bastone dello Charme,Bastone medio inferiore,Nessuno,17.600 mo,"2,5 kg",Manuale di Gioco
01-11,Bastone del Fuoco,Bastone medio superiore,Nessuno,18.950 mo,"2,5 kg",Manuale di Gioco
12-21,Bastone della Denigrazione,Bastone medio superiore,Nessuno,20.000 mo,"2,5 kg",Guida all'Equipaggiamento
22-29,Bastone del Coraggio,Bastone medio superiore,Nessuno,20.800 mo,"2,5 kg",Guida all'Equipaggiamento
30-38,Bastone dell'Abbondanza e della Carestia,Bastone medio superiore,Nessuno,20.800 mo,"1,5 kg",Guida all'Equipaggiamento
39-49,Bastone del Rigore,Bastone medio superiore,Nessuno,20.800 mo,"2,5 kg",Guida del Giocatore
50-60,Bastone dello Sciame di Insetti,Bastone medio superiore,Nessuno,22.800 mo,"2,5 kg",Manuale di Gioco
61-68,Bastone dell'AutoritÃ,Bastone medio superiore,Nessuno,23.000 mo,"2,5 kg",Guida all'Equipaggiamento
69-81,Bastone della RadiositÃ,Bastone medio superiore,Nessuno,23.200 mo,"2,5 kg",Guida all'Equipaggiamento
82-92,Bastone dell'Alterazione della Taglia,Bastone medio superiore,Nessuno,26.150 mo,"2,5 kg",Manuale di Gioco
93-100,Bastone dei Viaggi,Bastone medio superiore,Nessuno,27.200 mo,"2,5 kg",Guida all'Equipaggiamento
01-04,Bastone dell'Acido,Bastone maggiore inferiore,Nessuno,28.600 mo,"2,5 kg",Guida all'Equipaggiamento
05-08,Bastone Caotico,Bastone maggiore inferiore,Nessuno,29.600 mo,"2,5 kg",Guida all'Equipaggiamento
