d%,Verga media inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
33-34,Verga della Padronanza Mentale,Verga maggiore superiore,Nessuno,67.000 mo,"2,5 kg",Guida all'Equipaggiamento
35-37,Verga della Potenza,Verga maggiore superiore,Nessuno,70.000 mo,5 kg,Manuale di Gioco
38-57,Metamagica (liv. incantesimo +2) Superiore,Verga maggiore superiore,Nessuno,73.000 mo,"2,5 kg",-
58,Scettro del Paradiso,Verga maggiore superiore,Nessuno,74.000 mo,"1,5 kg",Guida all'Equipaggiamento
59-68,Metamagica di RapiditÃ Normale,Verga maggiore superiore,Nessuno,75.500 mo,"2,5 kg",Manuale di Gioco
-,Verga delle Fatture Improvvise,Verga maggiore superiore,Nessuno,75.500 mo,"2,5 kg",Guida alle Classi
69-70,Verga della Potenza Nanica,Verga maggiore superiore,Nessuno,80.000 mo,5 kg,Guida alle Razze
71-75,Verga dell'Allerta,Verga maggiore superiore,Nessuno,85.000 mo,2 kg,Manuale di Gioco
-,Verga Dolorosa,Verga maggiore superiore,Nessuno,120.000 mo,"2,5 kg",Avventure Mitiche
-,Verga Cava,Verga maggiore superiore,Nessuno,121.500 mo,"2,5 kg",Avventure Occulte
76-95,Metamagica (liv. incantesimo +3) Superiore,Verga maggiore superiore,Nessuno,121.500 mo,"2,5 kg",-
-,Verga Caducea,Verga maggiore superiore,Nessuno,142.000 mo,"1,5 kg",Avventure Occulte
96-100,Metamagica di RapiditÃ Superiore,Verga maggiore superiore,Nessuno,170.000 mo,"2,5 kg",Manuale di Gioco
