d%,Arma specifica minore inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
15-20,Forcone del Guerriero,Arma media inferiore,Nessuno,7.315 mo,2 kg,Guida all'Equipaggiamento
-,Stocco dell'Intrepido,Arma media inferiore,Nessuno,7.320 mo,1 kg,Guida alle Classi
21-23,Aspersorio del Flusso Continuo,Arma media inferiore,Nessuno,7.805 mo,2 kg,Guida all'Equipaggiamento
24-28,Bastone Ferrato dell'Uragano,Arma media inferiore,Nessuno,7.840 mo,2 kg,Guida all'Equipaggiamento
29-34,Pugnale Avvelenato,Arma media inferiore,Nessuno,8.302 mo,"0,5 kg",Manuale di Gioco
35-39,Lama Tenebrosa,Arma media inferiore,Nessuno,8.810 mo,1 kg,Guida alle Razze
40-44,Fionda Congelante,Arma media inferiore,Nessuno,9.380 mo,-,Guida all'Equipaggiamento
45-49,Tridente della StabilitÃ,Arma media inferiore,Nessuno,9.815 mo,2 kg,Guida del Giocatore
50-54,Tridente dell'Avvertimento,Arma media inferiore,Nessuno,10.115 mo,2 kg,Manuale di Gioco
55-60,Pugnale dell'Assassino,Arma media inferiore,Nessuno,10.302 mo,"0,5 kg",Manuale di Gioco
61-66,Pugnale del Raddoppio,Arma media inferiore,Nessuno,10.302 mo,"0,5 kg",Guida all'Equipaggiamento
-,Lame per Artigli Laceranti,Arma media inferiore,Nessuno,10.305 mo,"0,5 kg",Guida alle Razze
-,Piccone Fendipietra,Arma media inferiore,Nessuno,11.308 mo,3 kg,Avventure Mitiche
67-71,Mazzafrusto della Terra,Arma media inferiore,Nessuno,11.315 mo,5 kg,Guida all'Equipaggiamento
72-79,Ascia Bipenne Rapida di Ossidiana,Arma media inferiore,Nessuno,11.320 mo,6 kg,Guida alle Razze
80-85,Liuxing Chui della PolaritÃ,Arma media inferiore,Nessuno,12.310 mo,5 kg,Guida all'Equipaggiamento
86-93,Lama del Legame,Arma media inferiore,Nessuno,12.350 mo,4 kg,Guida del Giocatore
94-100,Sventura del Mutaforma,Arma media inferiore,Nessuno,12.780 mo,5 kg,Manuale di Gioco
d%,Arma specifica media superiore,Prezzo,Peso,Fonte,,
01-07,Giusarma Acchiappa Draghi,Arma media superiore,Nessuno,13.308 mo,"2,5 kg",Guida all'Equipaggiamento
-,Lama del Boia,Arma media superiore,Nessuno,13.850 mo,4 kg,Guida alle Classi
08-15,Dao a Dieci Anelli,Arma media superiore,Nessuno,14.315 mo,2 kg,Guida all'Equipaggiamento
16-21,Tridente del Tritone,Arma media superiore,Nessuno,15.065 mo,2 kg,Guida all'Equipaggiamento
22-29,Mazza della Punizione Inferiore,Arma media superiore,Nessuno,16.012 mo,4 kg,Guida all'Equipaggiamento
30-37,Lama Disarmante,Arma media superiore,Nessuno,17.802 mo,1 kg,Guida all'Equipaggiamento
38-42,Sferza dell'Ululatore,Arma media superiore,Nessuno,18.305 mo,"1,5 kg",Guida all'Equipaggiamento
43-47,Lancia Spezzascudi,Arma media superiore,Nessuno,18.310 mo,5 kg,Guida del Giocatore
48-53,Tridente del Comando dei Pesci,Arma media superiore,Nessuno,18.650 mo,2 kg,Manuale di Gioco
54-59,Bastone Ferrato del Balzo,Arma media superiore,Nessuno,19.100 mo,2 kg,Guida all'Equipaggiamento
-,Lancia della Contesa,Arma media superiore,Nessuno,19.502 mo,3 kg,Avventure Mitiche
60-65,Pistola Drago di Fuoco,Arma media superiore,Nessuno,20.300 mo,2 kg,Guida all'Equipaggiamento
66-71,Martello Rimbalzante,Arma media superiore,Nessuno,20.301 mo,1 kg,Guida del Giocatore
72-77,Spada Lingua di Fuoco,Arma media superiore,Nessuno,20.715 mo,2 kg,Manuale di Gioco
-,Ascia Brutale,Arma media superiore,Nessuno,21.320 mo,6 kg,Avventure Mitiche
78-85,Astrum del Sentiero Scintillante,Arma media superiore,Nessuno,21.324 mo,"1,5 kg",Guida del Giocatore
86-90,Lama della Fortuna  (0  Desideri  ),Arma media superiore,Nessuno,22.060 mo,1 kg,Manuale di Gioco
91-95,Spada della FurtivitÃ,Arma media superiore,Nessuno,22.310 mo,1 kg,Manuale di Gioco
96-100,Spada dei Piani,Arma media superiore,Nessuno,22.315 mo,2 kg,Manuale di Gioco
d%,Arma specifica maggiore inferiore,Prezzo,Peso,Fonte,,
01-12,Spada Ruba Nove Vite,Arma maggiore inferiore,Nessuno,23.057 mo,2 kg,Manuale di Gioco
13-26,Ascia Debilitante,Arma maggiore inferiore,Nessuno,23.310 mo,3 kg,Guida del Giocatore
-,Pugnale dei Mille Morsi,Arma maggiore inferiore,Nessuno,24.502 mo,"0,25 kg",Avventure Mitiche
27-40,Richiama Spiriti,Arma maggiore inferiore,Nessuno,25.302 mo,1 kg,Guida all'Equipaggiamento
41-55,Martello del Legame Nanico,Arma maggiore inferiore,Nessuno,25.312 mo,"2,5 kg",Guida all'Equipaggiamento
56-70,Arco del Giuramento,Arma maggiore inferiore,Nessuno,25.600 mo,"1,5 kg",Manuale di Gioco
71-85,Spada del Furto Vitale,Arma maggiore inferiore,Nessuno,25.715 mo,2 kg,Manuale di Gioco
-,Stocco del Movimento Tattico,Arma maggiore inferiore,Nessuno,30.320 mo,1 kg,Guida alle Classi
-,Lama della Dea del Fuoco,Arma maggiore inferiore,Nessuno,33.315 mo,2 kg,Avventure Mitiche
86-100,Apprendista della Spietatezza,Arma maggiore inferiore,Nessuno,33.910 mo,1 kg,Guida all'Equipaggiamento
d%,Arma specifica maggiore superiore,Prezzo,Peso,Fonte,,
01-02,Lamento del Ghoul,Arma maggiore superiore,Nessuno,35.312 mo,"2,5 kg",Guida all'Equipaggiamento
-,Compagna del Duellante,Arma maggiore superiore,Nessuno,35.320 mo,1 kg,Guida alle Classi
-,Arco di Erastil,Arma maggiore superiore,Nessuno,38.000 mo,"2,5 kg",Avventure Mitiche
-,Martello del Caos,Arma maggiore superiore,Nessuno,38.312 mo,5 kg,Avventure Mitiche
03-05,Mazza del Terrore,Arma maggiore superiore,Nessuno,38.552 mo,4 kg,Manuale di Gioco
06-07,Flagello Infernale,Arma maggiore superiore,Nessuno,39.552 mo,"1,5 kg",Guida all'Equipaggiamento
08-09,Fato dei Draghi,Arma maggiore superiore,Nessuno,40.310 mo,6 kg,Guida all'Equipaggiamento
10-13,Prosciuga-Vita,Arma maggiore superiore,Nessuno,40.320 mo,6 kg,Manuale di Gioco
14-16,Seguace del Valore,Arma maggiore superiore,Nessuno,41.335 mo,3 kg,Guida all'Equipaggiamento
17-18,Sventura del Convocatore,Arma maggiore superiore,Nessuno,42.816 mo,5 kg,Guida all'Equipaggiamento
19-21,Scimitarra Silvana,Arma maggiore superiore,Nessuno,47.315 mo,2 kg,Manuale di Gioco
22-23,Lama dello Spirito,Arma maggiore superiore,Nessuno,48.502 mo,"0,5 kg",Guida del Giocatore
24-26,Lancia di Durame,Arma maggiore superiore,Nessuno,50.302 mo,3 kg,Guida all'Equipaggiamento
27-29,Stocco Pungente,Arma maggiore superiore,Nessuno,50.320 mo,1 kg,Manuale di Gioco
30-32,Lama del Sole,Arma maggiore superiore,Nessuno,50.335 mo,1 kg,Manuale di Gioco
-,Arco del Soffio di Drago,Arma maggiore superiore,Nessuno,50.375 mo,"1,5 kg",Avventure Mitiche
33-37,Lama del Sol Levante,Arma maggiore superiore,Nessuno,51.850 mo,3 kg,Guida all'Equipaggiamento
38-40,Spadone del Gelo,Arma maggiore superiore,Nessuno,54.475 mo,4 kg,Manuale di Gioco
41-45,Martello Nanico da Lancio,Arma maggiore superiore,Nessuno,60.312 mo,"2,5 kg",Manuale di Gioco
46-50,Pugnale Sanguinario,Arma maggiore superiore,Nessuno,60.802 mo,"0,5 kg",Guida all'Equipaggiamento
51-53,Portatore di Guerra,Arma maggiore superiore,Nessuno,61.375 mo,4 kg,Guida all'Equipaggiamento
54-57,Lama della Fortuna  (1  Desiderio  ),Arma maggiore superiore,Nessuno,62.360 mo,1 kg,Manuale di Gioco
58-61,Lama da Guardia,Arma maggiore superiore,Nessuno,65.310 mo,1 kg,Guida del Giocatore
-,Spezza Incantesimi,Arma maggiore superiore,Nessuno,71.600 mo,2 kg,Avventure Mitiche
62-64,Pistola del Cielo Infinito,Arma maggiore superiore,Nessuno,73.300 mo,2 kg,Guida all'Equipaggiamento
65-69,Mazza della Punizione,Arma maggiore superiore,Nessuno,75.312 mo,4 kg,Manuale di Gioco
70-73,Lama del Santo della Spada,Arma maggiore superiore,Nessuno,75.350 mo,3 kg,Guida all'Equipaggiamento
74-76,Scimitarra del Ladro di Incantesimi,Arma maggiore superiore,Nessuno,75.815 mo,2 kg,Guida all'Equipaggiamento
77-79,Zanna del Ragno,Arma maggiore superiore,Nessuno,79.102 mo,"0,5 kg",Guida all'Equipaggiamento
80-82,Sciabola Sventura dei Demoni,Arma maggiore superiore,Nessuno,90.469 mo,"3,5 kg",Guida all'Equipaggiamento
83-85,Falce del Vuoto,Arma maggiore superiore,Nessuno,95.318 mo,5 kg,Guida all'Equipaggiamento
-,Spuntone delle Ombre,Arma maggiore superiore,Nessuno,96.600 mo,2 kg,Avventure Mitiche
-,Pistola dell'Innominato,Arma maggiore superiore,Nessuno,98.300 mo,"2,5 kg",Avventure Mitiche
-,Richiamatempesta,Arma maggiore superiore,Nessuno,98.302 mo,3 kg,Avventure Mitiche
86-89,Lama della Fortuna  (2  Desideri  ),Arma maggiore superiore,Nessuno,102.660 mo,1 kg,Manuale di Gioco
-,Tocco dell'Ombra,Arma maggiore superiore,Nessuno,102.962 mo,"0,25 kg",Avventure Mitiche
90-92,Sacro Vendicatore,Arma maggiore superiore,Nessuno,120.630 mo,2 kg,Manuale di Gioco
93-96,Pungiglione del Bastardo,Arma maggiore superiore,Nessuno,123.035 mo,3 kg,Guida all'Equipaggiamento
97-100,Lama della Fortuna  (3  Desideri  ),Arma maggiore superiore,Nessuno,142.960 mo,1 kg,Manuale di Gioco
-,Spada del Fuoco Interiore,Arma maggiore superiore,Nessuno,151.315 mo,2 kg,Avventure Mitiche
-,Vendicatore Consacrato,Arma maggiore superiore,Nessuno,202.630 mo,2 kg,Avventure Mitiche
