d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
-,Amuleto degli Spiriti  (  Ossa  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto degli Spiriti  (  Vita  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Abissale  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Celestiale  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Draconica  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Elementale  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Infernale  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Maledetta  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Non Morta  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Vita Incanalata,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,25 kg",Guida alle Razze
-,Gioiello Indomito,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Avventure Occulte
-,Talismano Superiore della Protezione dalle Fiamme,Oggetto Medio Inferiore Slot Collo,Collo,12.500 mo,"0,5 kg",Avventure Occulte
78-81,Amuleto del Pugno della Forgia,Oggetto Medio Inferiore Slot Collo,Collo,13.000 mo,"0,5 kg",Guida all'Equipaggiamento
82-85,Amuleto di Protezione dai Proiettili +3,Oggetto Medio Inferiore Slot Collo,Collo,13.500 mo,-,Guida al Combattimento
-,Collare Crudele Superiore,Oggetto Medio Inferiore Slot Collo,Collo,14.000 mo,1 kg,Guida alle Classi
86-92,Talismano della Rimarginazione,Oggetto Medio Inferiore Slot Collo,Collo,15.000 mo,-,Manuale di Gioco
-,Amuleto della Stirpe  (  Aberrante  ),Oggetto Medio Inferiore Slot Collo,Collo,15.000 mo,"0,5 kg",Guida alle Classi
93-95,Amuleto dei Pugni Potenti +2,Oggetto Medio Inferiore Slot Collo,Collo,16.000 mo,-,Manuale di Gioco
96-98,Collana della SerenitÃ Ki,Oggetto Medio Inferiore Slot Collo,Collo,16.000 mo,-,Guida del Giocatore
99-100,Fermaglio delle Scintille Ambrate,Oggetto Medio Inferiore Slot Collo,Collo,16.800 mo,"0,5 kg",Guida all'Equipaggiamento
-,Talismano Superiore della Buona Fortuna,Oggetto Medio Inferiore Slot Collo,Collo,16.800 mo,"0,5 kg",Avventure Occulte
d%,Oggetto Medio Superiore,Prezzo,Peso,Fonte,,
01-15,Simbolo della Protezione Sanguigna,Oggetto Medio Superiore Slot Collo,Collo,17.500 mo,"0,5 kg",Guida all'Equipaggiamento
16-24,Amuleto dell'Armatura Naturale +3,Oggetto Medio Superiore Slot Collo,Collo,18.000 mo,-,Manuale di Gioco
-,Cappio dell'Impiccato,Oggetto Medio Superiore Slot Collo,Collo,18.000 mo,2 kg,Avventure Mitiche
-,Incensiere del Santuario,Oggetto Medio Superiore Slot Collo,Collo,18.000 mo,1 kg,Avventure Mitiche
25-35,Ampolla del Sangue Ingannevole,Oggetto Medio Superiore Slot Collo,Collo,20.000 mo,-,Guida all'Equipaggiamento
36-50,Amuleto delle Arti Magiche,Oggetto Medio Superiore Slot Collo,Collo,20.000 mo,1 kg,Guida del Giocatore
51-62,Amuleto del Nemico dei Draghi,Oggetto Medio Superiore Slot Collo,Collo,20.000 mo,"0,5 kg",Guida all'Equipaggiamento
63-67,Amuleto della Maestria Magica,Oggetto Medio Superiore Slot Collo,Collo,22.000 mo,"0,5 kg",Guida all'Equipaggiamento
68-72,Amuleto di Protezione dai Proiettili +4,Oggetto Medio Superiore Slot Collo,Collo,24.000 mo,-,Guida al Combattimento
-,Talismano Superiore del Potere di Guarigione,Oggetto Medio Superiore Slot Collo,Collo,24.000 mo,-,Avventure Occulte
72-85,Mano della Pietra,Oggetto Medio Superiore Slot Collo,Collo,27.000 mo,1 kg,Guida all'Equipaggiamento
86-100,Talismano Anti-veleno,Oggetto Medio Superiore Slot Collo,Collo,27.000 mo,-,Manuale di Gioco
d%,Oggetto Maggiore Inferiore,Prezzo,Peso,Fonte,,
01-18,Amuleto dell'Armatura Naturale +4,Oggetto Maggiore Inferiore Slot Collo,Collo,32.000 mo,-,Manuale di Gioco
19-35,Amuleto Anti-individuazione e Localizzazione,Oggetto Maggiore Inferiore Slot Collo,Collo,35.000 mo,-,Manuale di Gioco
-,Talismano Superiore del Soffio di Vita,Oggetto Maggiore Inferiore Slot Collo,Collo,35.000 mo,"0,5 kg",Avventure Occulte
-,Collana dei Colpi Spettrali,Oggetto Maggiore Inferiore Slot Collo,Collo,35.500 mo,"0,5 kg",Avventure Mitiche
36-49,Amuleto dei Pugni Potenti +3,Oggetto Maggiore Inferiore Slot Collo,Collo,36.000 mo,-,Manuale di Gioco
50-67,Amuleto di Protezione dai Proiettili +5,Oggetto Maggiore Inferiore Slot Collo,Collo,37.500 mo,-,Guida al Combattimento
68-82,Scarabeo di Protezione,Oggetto Maggiore Inferiore Slot Collo,Collo,38.000 mo,-,Manuale di Gioco
83-100,Collana delle Stelle Intrappolate,Oggetto Maggiore Inferiore Slot Collo,Collo,42.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Collare di Ferro della Congrega Sciolta,Oggetto Maggiore Inferiore Slot Collo,Collo,46.000 mo,"0,5 kg",Guida alle Classi
d%,Oggetto Maggiore Superiore,Prezzo,Peso,Fonte,,
01-35,Amuleto dell'Armatura Naturale +5,Oggetto Maggiore Superiore Slot Collo,Collo,50.000 mo,-,Manuale di Gioco
-,Torque della Lingua Primeva,Oggetto Maggiore Superiore Slot Collo,Collo,60.000 mo,1 kg,Avventure Mitiche
36-60,Amuleto dei Pugni Potenti +4,Oggetto Maggiore Superiore Slot Collo,Collo,64.000 mo,-,Manuale di Gioco
61-85,Amuleto dei Pugni Potenti +5,Oggetto Maggiore Superiore Slot Collo,Collo,100.000 mo,-,Manuale di Gioco
86-100,Amuleto dei Piani,Oggetto Maggiore Superiore Slot Collo,Collo,120.000 mo,-,Manuale di Gioco
