d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
54-67,Cintura della Gorgone,Oggetto Medio Superiore Slot Cintura,Cintura,23.000 mo,"0,5 kg",Guida all'Equipaggiamento
68-84,Cintura Elementale della Terra,Oggetto Medio Superiore Slot Cintura,Cintura,24.000 mo,"1,5 kg",Guida all'Equipaggiamento
85-100,Fusciacca dell'Acqua Corrente,Oggetto Medio Superiore Slot Cintura,Cintura,25.000 mo,"1,5 kg",Guida all'Equipaggiamento
d%,Oggetto Maggiore Inferiore,Prezzo,Peso,Fonte,,
01-12,Cintura della Forma di Marinide,Oggetto Maggiore Inferiore Slot Cintura,Cintura,32.000 mo,1 kg,Guida all'Equipaggiamento
-,Cintura delle Manovre Superiori +4,Oggetto Maggiore Inferiore Slot Cintura,Cintura,32.000 mo,"0,5 kg",Guida alle Classi
13-30,Cintura della Forza del Gigante +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
31-48,Cintura dell'AgilitÃ +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
49-66,Cintura del Vigore +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
-,Cintura Riflettente,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,1 kg,Avventure Mitiche
67-88,Cintura della Potenza Fisica +4,Oggetto Maggiore Inferiore Slot Cintura,Cintura,40.000 mo,"0,5 kg",Manuale di Gioco
89-100,Cintura del Lancio Potente Superiore,Oggetto Maggiore Inferiore Slot Cintura,Cintura,42.000 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Maggiore Superiore,Prezzo,Peso,Fonte,,
-,Cintura delle Manovre Superiori +5,Oggetto Maggiore Superiore Slot Cintura,Cintura,50.000 mo,"0,5 kg",Guida alle Classi
01-25,Cintura della Pelle di Pietra,Oggetto Maggiore Superiore Slot Cintura,Cintura,60.000 mo,5 kg,Guida alle Razze
-,Cintura della StabilitÃ,Oggetto Maggiore Superiore Slot Cintura,Cintura,60.000 mo,5 kg,Avventure Mitiche
26-55,Cintura della Perfezione Fisica +4,Oggetto Maggiore Superiore Slot Cintura,Cintura,64.000 mo,"0,5 kg",Manuale di Gioco
56-75,Cintura della Potenza Fisica +6,Oggetto Maggiore Superiore Slot Cintura,Cintura,90.000 mo,"0,5 kg",Manuale di Gioco
76-90,Cintura della Forma d'Ombra,Oggetto Maggiore Superiore Slot Cintura,Cintura,110.000 mo,"0,5 kg",Guida all'Equipaggiamento
91-100,Cintura della Perfezione Fisica +6,Oggetto Maggiore Superiore Slot Cintura,Cintura,144.000 mo,"0,5 kg",Manuale di Gioco
