d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
61-68,Fascia della Seduzione +4,Oggetto Medio Inferiore Slot Fronte,Fronte,16.000 mo,"0,5 kg",Manuale di Gioco
69-76,Fascia dell'Ispirazione +4,Oggetto Medio Inferiore Slot Fronte,Fronte,16.000 mo,"0,5 kg",Manuale di Gioco
77-85,Fascia della SuperioritÃ Mentale +2,Oggetto Medio Inferiore Slot Fronte,Fronte,16.000 mo,"0,5 kg",Manuale di Gioco
86-93,Fascia della Sapienza +4,Oggetto Medio Inferiore Slot Fronte,Fronte,16.000 mo,"0,5 kg",Manuale di Gioco
94-100,Fascia del Cambiaforma +4,Oggetto Medio Inferiore Slot Fronte,Fronte,17.500 mo,-,Guida all'Equipaggiamento
d%,Oggetto Medio Superiore,Prezzo,Peso,Fonte,,
-,Diadema del Cineta Minore,Oggetto Medio Superiore Slot Fronte,Fronte,18.000 mo,-,Avventure Occulte
01-30,Fascia dell'Energia Arcana,Oggetto Medio Superiore Slot Fronte,Fronte,20.000 mo,"0,5 kg",Guida all'Equipaggiamento
31-70,Fascia del Controincantesimo,Oggetto Medio Superiore Slot Fronte,Fronte,20.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Diadema della Luna,Oggetto Medio Superiore Slot Fronte,Fronte,20.000 mo,-,Guida del Giocatore
71-100,Fascia delle Nocche,Oggetto Medio Superiore Slot Fronte,Fronte,27.500 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Maggiore Inferiore,Prezzo,Peso,Fonte,,
01-09,Occhio del Legame Interiore,Oggetto Maggiore Inferiore Slot Fronte,Fronte,30.000 mo,-,Guida all'Equipaggiamento
10-19,Fascia del Lupo Invernale,Oggetto Maggiore Inferiore Slot Fronte,Fronte,32.000 mo,"0,5 kg",Guida all'Equipaggiamento
20-32,Fascia della Seduzione +6,Oggetto Maggiore Inferiore Slot Fronte,Fronte,36.000 mo,"0,5 kg",Manuale di Gioco
33-45,Fascia dell'Ispirazione +6,Oggetto Maggiore Inferiore Slot Fronte,Fronte,36.000 mo,"0,5 kg",Manuale di Gioco
46-58,Fascia della Sapienza +6,Oggetto Maggiore Inferiore Slot Fronte,Fronte,36.000 mo,"0,5 kg",Manuale di Gioco
59-66,Fascia del Cambiaforma +6,Oggetto Maggiore Inferiore Slot Fronte,Fronte,39.000 mo,-,Guida all'Equipaggiamento
67-81,Fascia della Prodezza Mentale +4,Oggetto Maggiore Inferiore Slot Fronte,Fronte,40.000 mo,"0,5 kg",Manuale di Gioco
82-90,Fascia dell'Avvenenza,Oggetto Maggiore Inferiore Slot Fronte,Fronte,40.000 mo,"0,5 kg",Guida all'Equipaggiamento
91-100,Fascia dell'AgilitÃ Aerea +4,Oggetto Maggiore Inferiore Slot Fronte,Fronte,42.000 mo,-,Guida all'Equipaggiamento
d%,Oggetto Maggiore Superiore,Prezzo,Peso,Fonte,,
-,Diadema del Cineta,Oggetto Maggiore Superiore Slot Fronte,Fronte,50.000 mo,-,Avventure Occulte
01-20,Fascia della Resistenza Mentale,Oggetto Maggiore Superiore Slot Fronte,Fronte,64.000 mo,"0,5 kg",Guida all'Equipaggiamento
21-50,Fascia della SuperioritÃ Mentale +4,Oggetto Maggiore Superiore Slot Fronte,Fronte,64.000 mo,"0,5 kg",Manuale di Gioco
51-65,Fascia dell'AgilitÃ Aerea +6,Oggetto Maggiore Superiore Slot Fronte,Fronte,81.000 mo,-,Guida all'Equipaggiamento
66-85,Fascia della Prodezza Mentale +6,Oggetto Maggiore Superiore Slot Fronte,Fronte,90.000 mo,"0,5 kg",Manuale di Gioco
-,Diadema del Cineta Superiore,Oggetto Maggiore Superiore Slot Fronte,Fronte,98.000 mo,-,Avventure Occulte
86-100,Fascia della SuperioritÃ Mentale +6,Oggetto Maggiore Superiore Slot Fronte,Fronte,144.000 mo,"0,5 kg",Manuale di Gioco
-,Fascia dei Pensieri Sigillati,Oggetto Maggiore Superiore Slot Fronte,Fronte,150.000 mo,"0,5 kg",Avventure Mitiche
